Faceoff,,,,Shot for,,
recorded,real,lag,,recorded,real,lag
04:15.1,04:14.0,00:01.1,,05:30.4,05:29.0,00:01.4
13:14.3,13:14.0,00:00.3,,15:07.1,15:06.0,00:01.1
31:08.5,31:08.0,00:00.5,,16:41.3,16:40.0,00:01.3
32:19.1,32:17.0,00:02.1,,27:22.3,27:21.0,00:01.3
02:11.1,02:10.0,00:01.1,,04:47.5,04:46.0,00:01.5
04:13.2,04:12.0,00:01.2,,05:24.3,05:22.0,00:02.3
06:09.4,06:09.0,00:00.4,,09:53.3,09:52.0,00:01.3
13:26.0,13:25.0,00:01.0,,19:59.3,19:58.0,00:01.3
37:07.1,37:06.0,00:01.1,,28:29.4,28:28.0,00:01.4
14:40.1,14:39.0,00:01.1,,17:00.1,16:59.0,00:01.1
