OPPOA,OPPOB,duration
0.0008691,0.00087234,0.00000541
0.00088113,0.00120764,0.00032807
0.00128484,0.0013103,0.00002704
0.00138796,0.00151991,0.00013498
0.00171458,0.00181875,0.00010427
0.00184294,0.00225718,0.00041245
0.0024684,0.00261632,0.00014637
0.00307905,0.00311748,0.00004094
0.00324294,0.0033463,0.00010292
0.00369618,0.00371829,0.00002144
0.00384838,0.00399549,0.00014483
0.00400694,0.00402025,0.00001448
0.00411053,0.00414502,0.00003438
0.00498958,0.00513241,0.00014559
0.00557824,0.00561238,0.0000338
0.0056978,0.00589016,0.00018942
0.00644664,0.00711817,0.00067159
0.0074235,0.00758333,0.00015833
0.00764433,0.00771331,0.00006874
0.00785046,0.00790822,0.00005773
0.00810347,0.00832118,0.00021626
0.00845417,0.00864931,0.00019406
0.00914282,0.00921238,0.00006951
0.00926354,0.00939861,0.00013247
0.01037095,0.01048727,0.00011682
0.01089317,0.01114572,0.00025102
0.01154525,0.01158981,0.00004345
0.01171609,0.01187523,0.00015737
0.01188773,0.01214051,0.0002516
0.01245475,0.01261759,0.00016336
0.01272419,0.01277153,0.00004808
0.01361632,0.01365949,0.00004094
0.01392488,0.01400729,0.00008341
0.01411296,0.01433125,0.00021723
0.01639167,0.01648391,0.00009211
0.01676389,0.01686528,0.00009964
0.01896979,0.01915972,0.00019309
0.01942106,0.01943657,0.00001815
0.01965718,0.01982928,0.00017108
0.01987188,0.01988611,0.00001603
0.02074259,0.02080926,0.00006469
0.02099757,0.021161,0.00016433
0.0213103,0.02146933,0.00015699
0.02196169,0.02246493,0.00049934
0.02268634,0.0233941,0.00070904
0.02362303,0.02366227,0.00004209
0.02370764,0.02402917,0.00031995
0.024136,0.02422905,0.00009346
0.02433252,0.02438935,0.00005619
0.02460556,0.02472743,0.0001259
