RPIA,RPIB,duration
0.00121713,0.00127604,0.00005947
0.00131921,0.00137731,0.00005831
0.00182778,0.00183414,0.00001063
0.00261944,0.0027235,0.00010389
0.00312431,0.00323461,0.00011432
0.00335648,0.00337384,0.00002124
0.00365046,0.00369144,0.00003747
0.00373125,0.00384468,0.00011181
0.00403275,0.00428275,0.00024697
0.00451308,0.00456343,0.00005291
0.00472778,0.00497813,0.00024735
0.00514109,0.00535845,0.00021568
0.00561586,0.00568727,0.0000728
0.00759155,0.0076397,0.00004924
0.00772326,0.00784144,0.00011972
0.0079169,0.00809387,0.00017919
0.00832685,0.0084485,0.00011779
0.00865868,0.0088912,0.00023325
0.00921551,0.00925845,0.00004074
0.009389,0.00953681,0.00014617
0.01049167,0.01061505,0.00012068
0.01148345,0.01154063,0.00005657
0.01159942,0.01170625,0.00010852
0.0126265,0.0127191,0.00009249
0.01366852,0.01391655,0.00025141
0.0140169,0.01410891,0.00009172
0.01631343,0.01638171,0.00006738
0.01649294,0.01659803,0.00010563
0.01660938,0.01665764,0.00004963
0.01665995,0.0167588,0.0000952
0.01686829,0.0169809,0.00011045
0.01725602,0.01779306,0.00054008
0.0180353,0.01896065,0.00092492
0.01917037,0.01941227,0.00024098
0.01944537,0.01965359,0.00020816
0.01983866,0.01986238,0.00002413
0.0198897,0.02037581,0.00048602
0.02081435,0.02098785,0.0001734
0.02367095,0.02369803,0.00002973
0.024039,0.02413113,0.00009191
0.02423762,0.02432257,0.00008766
0.02439873,0.02459711,0.00019947
