OPPOA,OPPOB,,,,,
0.00099606,0.00116794,,,,,
0.00154132,0.00157303,,,,,
0.00161400,0.00165509,,,,,
0.00186817,0.00195995,,,,,
0.00200613,0.00202894,,,,,
0.00206609,0.00216690,,,,,
0.00221273,0.00228438,,,,,
0.00229595,0.00237708,,,,,
0.00245648,0.00259444,,,,,
0.00317697,0.00321840,,,,,
0.00332396,0.00336030,,,,,
0.00349861,0.00354502,,,,,
0.00403935,0.00404387,,,,,
0.00413333,0.00415729,,,,,
0.00476134,0.00483009,,,,,
0.00551042,0.00566412,,,,,
0.00593750,0.00602211,,,,,
0.00608785,0.00620891,,,,,
0.00626331,0.00628484,,,,,
0.00633171,0.00634410,,,,,
0.00640556,0.00665405,,,,,
0.00667998,0.00674745,,,,,
0.00680590,0.00698021,,,,,
0.00714525,0.00721030,,,,,
0.00862697,0.00870671,,,,,
0.00935567,0.00943669,,,,,
0.00972396,0.00977998,,,,,
0.00987188,0.01002431,,,,,
0.01006991,0.01007488,,,,,
0.01009479,0.01019780,,,,,
0.01024421,0.01039456,,,,,
0.01041597,0.01071181,,,,,
0.01083750,0.01088403,,,,,
0.01094850,0.01098924,,,,,
0.01115718,0.01117338,,,,,
0.01122731,0.01124919,,,,,
0.01126389,0.01135394,,,,,
0.01141678,0.01150775,,,,,
0.01157824,0.01171539,,,,,
0.01175833,0.01199456,,,,,
0.01304861,0.01321956,,,,,
0.01323287,0.01409942,,,,,
0.01418183,0.01440197,,,,,
0.01447859,0.01456250,,,,,
0.01458484,0.01459745,,,,,
0.01465220,0.01474711,,,,,
0.01528021,0.01548576,,,,,
0.01597697,0.01620706,,,,,
0.01652025,0.01654248,,,,,
0.01659988,0.01672442,,,,,
0.01683160,0.01717975,,,,,
0.01720995,0.01743241,,,,,
0.01747731,0.01758021,,,,,
0.01868021,0.01871863,,,,,
0.01876065,0.01882234,,,,,
0.01892743,0.01895150,,,,,
0.01900556,0.01902928,,,,,
0.01950625,0.01957431,,,,,
0.02022257,0.02030104,,,,,
0.02042847,0.02055509,,,,,
0.02083507,0.02084988,,,,,
0.02097523,0.02135428,,,,,
0.02137164,0.02138206,,,,,
0.02175174,0.02194653,,,,,
0.02216563,0.02228426,,,,,
0.02233889,0.02235324,,,,,
0.02281458,0.02290567,,,,,
0.02303623,0.02310336,,,,,
0.02318681,0.02338275,,,,,
0.02347766,0.02360116,,,,,
